paises;quantidade;valor;ano
Afeganistão;-;-;2008
África do Sul;-;-;2008
Alemanha, República Democrática;265.742;429.970;2008
Angola;25.721;71.083;2008
Anguilla;-;-;2008
Antígua e Barbuda;-;-;2008
Antilhas Holandesas;17.938;22.908;2008
Argentina;-;-;2008
Aruba;-;-;2008
Austrália;218.726;99.280;2008
Áustria;-;-;2008
Bahamas;-;-;2008
Bangladesh;-;-;2008
Barbados;-;-;2008
Barein;-;-;2008
Bélgica;3.523;12.969;2008
Belice;-;-;2008
Benin;10.350;17.423;2008
Bolívia;3.979;3.990;2008
Bósnia-Herzegovina;-;-;2008
Brasil;-;-;2008
Bulgária;-;-;2008
Cabo Verde;-;-;2008
Camarões;-;-;2008
Canadá;20.949;80.476;2008
Catar;-;-;2008
Cayman, Ilhas;-;-;2008
Chile;-;-;2008
China;8.689;25.926;2008
Chipre;-;-;2008
Cingapura;1.233;4.699;2008
Cocos (Keeling), Ilhas;-;-;2008
Colômbia;-;-;2008
Comores;-;-;2008
Congo;-;-;2008
Coreia, Republica Sul;3.520;14.366;2008
Costa do Marfim;-;-;2008
Costa Rica;55;200;2008
Croácia;-;-;2008
Cuba;-;-;2008
Curaçao;-;-;2008
Dinamarca;518;15.905;2008
Dominica;-;-;2008
El Salvador;-;-;2008
Emirados Arabes Unidos;2.437;12.298;2008
Equador;-;-;2008
Eslovaca, Republica;585;16.063;2008
Espanha;2.942;6.834;2008
Estados Unidos;443.895;804.607;2008
Estônia;4.114;9.730;2008
Filipinas;-;-;2008
Finlândia;-;-;2008
França;11.078;27.500;2008
Gana;18.168;25.642;2008
Gibraltar;-;-;2008
Granada;-;-;2008
Grécia;-;-;2008
Guatemala;-;-;2008
Guiana;-;-;2008
Guiana Francesa;-;-;2008
Guine Bissau;-;-;2008
Guine Equatorial;548;1.417;2008
Haiti;20;20;2008
Honduras;162;580;2008
Hong Kong;2.430;13.460;2008
Hungria;-;-;2008
Ilha de Man;-;-;2008
Ilhas Virgens;-;-;2008
India;-;-;2008
Indonésia;-;-;2008
Irã;-;-;2008
Iraque;-;-;2008
Irlanda;-;-;2008
Itália;-;-;2008
Jamaica;-;-;2008
Japão;232.293;178.333;2008
Jordânia;-;-;2008
Letônia;-;-;2008
Líbano;-;-;2008
Libéria;-;-;2008
Luxemburgo;13.606;42.341;2008
Malásia;-;-;2008
Malta;-;-;2008
Marshall, Ilhas;-;-;2008
Mauritânia;-;-;2008
México;-;-;2008
Moçambique;-;-;2008
Montenegro;-;-;2008
Namibia;340;722;2008
Nicaragua;-;-;2008
Nigéria;7.560;10.920;2008
Noruega;-;-;2008
Nova Caledônia;-;-;2008
Nova Zelândia;-;-;2008
Omã;-;-;2008
Países Baixos;340.412;783.635;2008
Panamá;1.161;1.882;2008
Paraguai;2.191.901;1.374.088;2008
Peru;-;-;2008
Polônia;20.290;58.353;2008
Porto Rico;-;-;2008
Portugal;49.090;48.942;2008
Quênia;-;-;2008
Reino Unido;100.097;155.076;2008
República Dominicana;-;-;2008
